"filename", "language", "JSON", "SCSS", "TypeScript", "JavaScript", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\mainService.service.ts", "TypeScript", 0, 0, 86, 0, 0, 0, 0, 14, 100
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\profile\profile.component.html", "HTML", 0, 0, 0, 0, 33, 0, 15, 1, 49
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\profile\profile.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\profile\profile.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\profile\profile.component.ts", "TypeScript", 0, 0, 117, 0, 0, 0, 23, 23, 163
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\profile\profile.module.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\register\register.component.html", "HTML", 0, 0, 0, 0, 53, 0, 0, 1, 54
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\register\register.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\register\register.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\register\register.component.ts", "TypeScript", 0, 0, 91, 0, 0, 0, 37, 22, 150
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\register\register.module.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 3, 24
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\ConfirmDialog\confirm-dialog.component.html", "HTML", 0, 0, 0, 0, 10, 0, 0, 0, 10
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\ConfirmDialog\confirm-dialog.component.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\ConfirmDialog\confirm-dialog.module.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\ConfirmDialog\confirm-dialog.service.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 4, 36
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\DuplicateDialog\duplicate-dialog.component.html", "HTML", 0, 0, 0, 0, 9, 0, 1, 0, 10
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\DuplicateDialog\duplicate-dialog.component.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\DuplicateDialog\duplicate-dialog.module.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\DuplicateDialog\duplicate-dialog.service.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 2, 28
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\ErrorDialog\error-dialog.component.html", "HTML", 0, 0, 0, 0, 9, 0, 1, 0, 10
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\ErrorDialog\error-dialog.component.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\ErrorDialog\error-dialog.module.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\ErrorDialog\error-dialog.service.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 2, 28
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\SuccessDialog\success-dialog.component.html", "HTML", 0, 0, 0, 0, 9, 0, 1, 0, 10
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\SuccessDialog\success-dialog.component.ts", "TypeScript", 0, 0, 40, 0, 0, 0, 0, 1, 41
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\SuccessDialog\success-dialog.module.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 1, 22
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\SuccessDialog\success-dialog.service.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 4, 30
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\shared.module.ts", "TypeScript", 0, 0, 106, 0, 0, 0, 0, 2, 108
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\applications\applications.component.html", "HTML", 0, 0, 0, 0, 70, 0, 0, 0, 70
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\applications\applications.component.scss", "SCSS", 0, 21, 0, 0, 0, 0, 0, 0, 21
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\applications\applications.component.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\breadcrumb\breadcrumb.component.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 2, 16
